Agent_id,lost_reason,source,source_city,source_country,utm_source,utm_medium,des_city,des_country,room_type,lead_id,cat_lease,cat_budget,lead_score,status
14,25,199,3722,163,9,3,187,8,5,13739,5,5,2.5023795375882263,0
21,0,126,3868,163,20,3,151,8,3,23466,2,0,0.003963855127714856,0
32,26,126,1227,163,3,3,18,8,0,22324,2,4,46.35779751992296,0
20,15,232,799,176,24,56,133,8,5,15962,5,5,0.01185001315496965,0
30,11,126,1775,162,20,3,109,8,3,6936,1,0,0.4926151642827569,0
12,15,126,250,163,20,3,29,8,0,24793,1,4,1.94663665575228,0
20,15,280,2848,99,17,35,133,8,0,2457,1,5,0.06142432228933702,0
28,20,126,4085,163,20,3,87,8,1,13246,1,5,2.7043263008101603,0
40,21,126,1784,163,20,3,148,8,0,15264,5,5,2.6681815384971155,0
20,17,127,3832,163,3,3,137,8,5,3780,1,5,3.810305914269295,0
28,21,18,4173,180,15,24,61,8,5,2095,5,5,24.247578487460206,0
98,21,126,1765,163,3,3,6,8,3,19644,2,5,8.812586577680134,0
51,15,126,3338,163,20,3,6,8,0,19713,0,4,0.9001645990117589,0
77,30,164,1306,99,24,56,165,8,5,12375,4,5,3.017751586214711,1
13,7,199,2936,163,20,3,160,8,5,958,5,5,0.029659605547348863,0
40,10,164,2628,99,20,30,194,8,5,26315,5,5,0.015413246884901253,0
3,20,126,1154,163,20,3,18,8,3,13613,2,4,13.030517845764624,0
20,15,280,1157,175,20,3,14,8,1,1182,5,4,0.2795826905866045,0
78,26,126,78,163,20,3,130,8,0,20039,2,4,8.522291221840794,0
91,21,126,1396,99,17,35,111,8,0,19753,5,5,1.4655066016138298,0
69,7,126,2619,99,20,3,87,8,1,11069,0,5,0.16889540821297067,0
80,21,199,136,163,20,3,18,8,5,2564,5,5,3.883721699611789,0
3,23,126,1170,163,20,3,26,8,0,17097,1,4,21.081750852819592,0
20,22,127,2174,174,20,3,142,3,5,14836,2,5,4.171385037287633,0
62,20,232,3962,163,3,3,194,8,5,3925,5,5,0.38633479937382764,0
12,0,126,2333,167,20,3,35,8,0,15256,1,0,0.029781158269229686,0
91,21,126,3868,163,20,3,165,8,3,6000,1,4,1.2038249822067633,0
41,20,126,3868,163,3,3,165,8,0,25504,1,5,1.5447310402426166,0
20,15,245,1154,163,20,3,104,8,5,23356,1,5,0.07671336811422634,0
112,10,126,3338,163,20,3,6,8,1,25081,2,5,0.0697694872178724,0
20,15,280,2511,99,20,3,133,8,0,727,1,4,0.20179816431249328,0
62,2,126,3528,163,20,3,18,8,0,14582,1,4,0.023715461680883433,0
103,21,126,2943,167,20,3,109,8,0,1660,0,4,2.6406352303138045,0
7,25,126,3685,138,20,3,151,8,0,12762,5,5,11.547233306555002,0
98,20,126,2028,99,20,3,194,8,3,5157,2,6,2.434042581552619,0
5,20,232,2534,163,20,3,18,8,5,7789,5,5,1.8157178970674985,0
20,15,232,718,27,20,30,133,8,5,9851,5,5,0.4444613751160365,0
20,15,164,1461,178,20,3,69,8,5,8591,5,5,0.8501440829367084,0
11,16,126,2848,99,20,3,194,8,1,12834,5,5,1.393564640953694,0
14,7,259,2605,99,20,3,194,8,5,19454,2,5,0.006310037112343203,0
92,24,126,726,174,20,3,194,8,0,20880,0,5,1.6560785300920373,0
47,20,126,1527,99,20,3,18,8,1,9613,2,5,18.688463689348676,0
7,16,126,1384,8,20,3,111,8,0,12432,1,5,14.767151477645346,0
21,16,280,190,145,17,28,29,8,0,24862,5,4,0.07528724653379709,0
62,16,126,2951,163,20,3,73,8,0,3943,1,4,1.4863189034002853,0
4,29,164,2943,167,24,56,84,8,5,14000,5,5,3.0560344164932998,0
79,2,18,4173,180,15,24,151,8,5,24759,5,5,0.009342425006384839,0
102,29,127,3315,163,3,3,151,8,5,1652,5,5,29.010304868812852,0
109,30,164,2628,99,24,56,6,8,5,23782,5,5,3.172057155339963,1
61,15,164,2049,99,20,3,191,8,5,12029,2,4,0.34741645365215346,0
65,20,126,2121,99,20,3,109,8,0,11684,1,5,5.644901984932392,0
91,21,199,49,163,20,3,18,8,5,15417,5,5,1.6655765349841505,0
28,16,126,1264,31,20,3,194,8,0,25460,0,5,2.089663501213786,0
41,29,126,3172,163,20,3,165,8,0,8377,5,5,18.521884071349266,0
70,25,232,1753,163,9,3,87,8,5,14323,5,5,2.4821630559471055,0
57,25,126,956,45,20,3,111,8,1,8594,0,4,47.635165734579004,0
5,30,126,1844,163,20,3,18,8,0,10875,1,4,70.5357415963352,1
57,16,127,1306,99,20,3,186,8,5,2474,5,5,2.0412768533445944,0
47,20,126,2943,167,20,3,109,8,3,13395,1,4,2.1415674076699482,0
35,21,18,4173,180,15,24,26,8,5,6154,5,5,24.168718456982045,0
19,20,127,3868,163,3,3,194,8,5,13272,5,5,2.9768139134188987,0
80,21,126,297,163,20,3,87,8,3,10904,1,4,5.050578754360266,0
91,25,126,2341,142,20,3,29,8,0,4933,5,4,21.387554707425632,0
62,21,199,3398,163,20,3,73,8,5,11799,5,5,0.8052697004571371,0
60,15,280,1243,163,20,3,2,8,3,16394,2,5,0.08658968256447674,0
17,18,280,1396,99,20,3,165,8,0,11933,5,5,0.2399870904982507,0
97,21,126,2943,167,20,3,18,8,3,9058,2,0,4.437834969253012,0
91,29,126,2245,163,20,3,73,8,0,20477,1,5,14.739507983326988,0
74,16,126,3922,163,20,3,194,8,0,2806,1,4,0.3487284578173691,0
21,30,232,3440,163,20,3,109,8,5,12423,5,5,5.989455198199138,1
20,15,126,3185,161,20,3,81,8,0,17378,1,0,0.8856489415219647,0
14,16,126,2396,31,20,3,194,8,1,25607,5,5,1.8419775237308786,0
55,30,126,2175,163,20,3,130,8,3,9638,1,4,29.47136176377192,1
109,25,164,1535,0,15,43,194,8,5,11278,5,5,3.9331580785171147,0
20,15,199,2655,56,20,3,133,8,5,18967,5,5,0.5431326479698376,0
20,15,232,3521,135,15,43,78,0,5,12208,5,5,0.07113435789637149,0
46,20,280,438,163,20,3,187,8,0,10426,2,4,0.13464150057854818,0
67,21,127,710,31,20,3,59,8,5,2226,1,5,42.540589209773906,0
9,19,126,2921,163,20,3,151,8,1,5463,2,5,3.0282268729614708,0
13,20,126,2589,99,20,3,73,8,0,23181,2,5,7.183658579850029,0
103,21,199,2196,24,20,3,6,8,5,20428,5,5,4.701636072587015,0
20,15,258,1541,163,24,56,12,8,5,6159,0,5,0.04004060381328935,0
20,15,280,4164,99,20,3,7,8,1,16009,5,5,0.17176897252330847,0
20,15,280,3521,135,20,3,133,8,3,13881,2,4,0.043714921358160096,0
20,15,122,3029,99,20,30,106,8,5,13904,1,5,0.7722617284805962,0
102,16,126,3868,163,20,3,160,8,0,12317,2,4,0.1906487056275455,0
20,15,164,1802,112,20,3,133,8,5,10008,5,5,0.997257261936778,0
103,20,127,2460,99,20,3,7,8,5,8457,2,5,8.84388212245724,0
74,21,126,1541,163,20,3,151,8,0,22721,0,5,1.1759883325613036,0
65,29,126,3538,175,20,3,128,8,0,18508,1,5,9.229801316524869,0
80,20,126,2195,163,20,3,111,8,3,18410,5,4,1.2635955917013089,0
62,21,199,297,163,20,3,18,8,5,24743,5,5,1.361283237433772,0
18,29,164,4173,4,20,3,84,8,5,18639,5,5,55.363646684416935,0
37,30,126,2884,0,20,3,87,8,3,11012,2,4,85.66171709326143,1
63,16,126,2921,163,20,3,194,8,0,8201,2,5,0.3720146665362416,0
20,15,280,1503,33,20,3,133,8,3,11674,1,0,0.3624833107498471,0
104,29,126,3868,163,20,3,35,8,0,26404,1,6,8.803023411935113,0
47,9,126,2943,167,20,3,87,8,1,6680,2,5,0.18125723698284116,0
79,30,280,1574,163,20,3,174,8,1,7259,2,0,1.4977369740124091,1
25,30,280,2074,163,20,3,174,8,0,12560,1,4,1.9187051695504012,1
20,15,280,1407,136,20,3,7,8,0,18642,1,0,0.19318274457179382,0
20,15,232,21,99,20,3,133,8,5,20055,5,5,0.2870137764771978,0
20,17,127,2943,167,20,3,132,8,5,10473,5,5,1.209732216349166,0
25,30,126,2230,163,20,3,151,8,0,19814,1,5,22.08163011249134,1
39,21,126,2173,99,20,3,35,8,3,21199,5,5,10.969882516996975,0
57,11,126,305,145,20,3,151,8,3,19536,2,4,0.1907767850649697,0
91,16,126,2574,163,20,3,160,8,0,18838,2,4,0.20925544592965423,0
80,20,199,1989,99,20,3,84,8,5,5179,5,5,2.1539785579038773,0
10,0,127,491,163,3,3,160,8,5,10032,5,5,0.04972011071773283,0
28,30,126,2534,163,20,3,73,8,0,18873,2,5,35.3563478932702,1
103,20,126,2605,99,20,3,18,8,3,25991,1,4,3.1305927551106514,0
91,20,126,142,163,20,3,26,8,3,4834,1,4,8.259240495462254,0
20,15,164,2127,163,20,30,133,8,5,6336,5,5,0.21057264677242152,0
4,16,126,2943,167,20,3,35,8,0,9254,1,5,3.142384376351299,0
111,21,126,1106,163,20,3,109,8,1,22390,1,5,1.1798080626938685,0
20,15,258,2738,176,9,3,69,8,5,23519,1,5,0.08714908802321497,0
17,25,127,2943,167,17,35,84,8,5,15742,5,5,4.836963955724314,0
104,25,126,2035,150,20,3,50,8,0,10221,5,4,11.768040892452316,0
20,15,164,2278,176,20,3,173,8,5,17266,5,5,0.1660241260160046,0
6,7,126,2605,99,20,3,165,8,1,13516,0,0,0.1818037933086503,0
52,16,127,2596,163,3,3,194,8,5,26398,5,5,0.4103135400569832,0
25,10,126,1057,163,20,3,111,8,1,5412,1,4,0.4774477779275548,0
9,20,126,3868,163,20,3,18,8,0,10093,1,5,7.993359331790057,0
22,21,280,2605,99,20,3,89,8,0,2880,2,5,1.3175505802083216,0
79,16,126,173,163,20,3,194,8,0,24261,1,4,0.23901946721936454,0
98,16,164,2605,99,24,56,194,8,5,18270,5,5,0.018438565515747372,0
60,19,126,1943,163,20,3,18,8,3,12876,2,4,4.290076163124751,0
39,16,232,1622,161,20,3,194,8,5,19334,5,5,0.049226533650361816,0
109,21,126,3306,79,20,3,18,8,5,3096,1,4,13.96524162321462,0
44,30,126,3511,3,20,3,18,8,1,5107,2,4,92.32109933793855,1
70,29,199,2049,99,20,3,118,8,5,7935,5,5,16.00474054425095,0
